字段,判定,理由
acc_now_delinq,MODEL,征信：当前逾期账户数
acc_open_past_24mths,MODEL,征信：近 24 个月新开账户数
addr_state,MODEL,州，申请时填报
all_util,MODEL,征信：全账户额度使用率
annual_inc,MODEL,年收入，申请时填报
application_type,MODEL,个人申请 / 联合申请，申请时确定
avg_cur_bal,MODEL,征信：账户平均余额
bc_open_to_buy,MODEL,征信：信用卡可用额度
bc_util,MODEL,征信：信用卡额度使用率
chargeoff_within_12_mths,MODEL,征信：近 12 个月核销笔数
collections_12_mths_ex_med,MODEL,征信：近 12 个月催收记录数（不含医疗），申请时可得
delinq_2yrs,MODEL,征信：近 2 年逾期 30+ 次数
delinq_amnt,MODEL,征信：当前逾期金额
dti,MODEL,负债收入比，申请时按征信负债计算
earliest_cr_line,MODEL,征信：最早开户月份，用于算征信历史长度
emp_length,MODEL,工作年限，申请时填报
fico_range_high,MODEL,征信：申请时 FICO 区间上界
fico_range_low,MODEL,征信：申请时 FICO 区间下界
home_ownership,MODEL,住房状况，申请时填报
il_util,MODEL,征信：分期账户额度使用率
inq_fi,MODEL,征信：金融机构查询次数
inq_last_12m,MODEL,征信：近 12 个月查询次数
inq_last_6mths,MODEL,征信：近 6 个月硬查询次数（多头借贷信号）
loan_amnt,MODEL,申请金额，申请人自己填的
max_bal_bc,MODEL,征信：单张信用卡最高余额
mo_sin_old_il_acct,MODEL,征信：最早分期账户账龄
mo_sin_old_rev_tl_op,MODEL,征信：最早循环账户账龄
mo_sin_rcnt_rev_tl_op,MODEL,征信：最近开立循环账户距今月数
mo_sin_rcnt_tl,MODEL,征信：最近开立任一账户距今月数
mort_acc,MODEL,征信：按揭账户数
mths_since_last_delinq,MODEL,征信：距上次逾期月数；缺失=从未逾期，单独成箱
mths_since_last_major_derog,MODEL,征信：距上次 90+ 逾期月数
mths_since_last_record,MODEL,征信：距上次公共记录月数；缺失=无公共记录
mths_since_rcnt_il,MODEL,征信：距最近一次开分期账户月数
mths_since_recent_bc,MODEL,征信：距最近开立信用卡月数
mths_since_recent_bc_dlq,MODEL,征信：距最近信用卡逾期月数
mths_since_recent_inq,MODEL,征信：距最近查询月数
mths_since_recent_revol_delinq,MODEL,征信：距最近循环账户逾期月数
num_accts_ever_120_pd,MODEL,征信：历史曾 120+ 逾期账户数
num_actv_bc_tl,MODEL,征信：活跃信用卡数
num_actv_rev_tl,MODEL,征信：活跃循环账户数
num_bc_sats,MODEL,征信：状态正常的信用卡数
num_bc_tl,MODEL,征信：信用卡账户总数
num_il_tl,MODEL,征信：分期账户总数
num_op_rev_tl,MODEL,征信：开立中的循环账户数
num_rev_accts,MODEL,征信：循环账户总数
num_rev_tl_bal_gt_0,MODEL,征信：有余额的循环账户数
num_sats,MODEL,征信：状态正常账户数
num_tl_120dpd_2m,MODEL,征信：近 2 个月 120+ 逾期账户数
num_tl_30dpd,MODEL,征信：当前 30+ 逾期账户数
num_tl_90g_dpd_24m,MODEL,征信：近 24 个月 90+ 逾期账户数
num_tl_op_past_12m,MODEL,征信：近 12 个月开立账户数
open_acc,MODEL,征信：当前开立账户数
open_acc_6m,MODEL,征信：近 6 个月新开账户数（2015-12 起才全量采集，缺失率高）
open_act_il,MODEL,征信：当前活跃分期账户数（同上，晚期才采集）
open_il_12m,MODEL,征信：近 12 个月新开分期账户数
open_il_24m,MODEL,征信：近 24 个月新开分期账户数
open_rv_12m,MODEL,征信：近 12 个月新开循环账户数
open_rv_24m,MODEL,征信：近 24 个月新开循环账户数
pct_tl_nvr_dlq,MODEL,征信：从未逾期账户占比
percent_bc_gt_75,MODEL,征信：使用率超 75% 的信用卡占比
pub_rec,MODEL,征信：公共不良记录数
pub_rec_bankruptcies,MODEL,征信：破产记录数
purpose,MODEL,借款用途（枚举），申请时选择
revol_bal,MODEL,征信：循环信贷余额
revol_util,MODEL,征信：循环额度使用率，零售风控最强单变量之一
tax_liens,MODEL,征信：税务留置权记录数
term,MODEL,期限，申请时选定。本项目只建 36 期的卡，故建模时为常数
tot_coll_amt,MODEL,征信：历史催收总金额
tot_cur_bal,MODEL,征信：全部账户当前余额合计
tot_hi_cred_lim,MODEL,征信：历史最高授信额度合计
total_acc,MODEL,征信：历史账户总数
total_bal_ex_mort,MODEL,征信：除按揭外余额合计
total_bal_il,MODEL,征信：分期账户余额合计
total_bc_limit,MODEL,征信：信用卡额度合计
total_cu_tl,MODEL,征信：信用社账户数
total_il_high_credit_limit,MODEL,征信：分期账户最高额度合计
total_rev_hi_lim,MODEL,征信：循环账户总授信额度
verification_status,MODEL,收入是否经过核验，申请环节产生
grade,PRICING,LC 信用等级，其内部模型的输出
installment,PRICING,"月供 = f(金额, 期限, 利率)，含利率信息"
int_rate,PRICING,LC 定价利率，是其内部评分的输出；留给收益测算算利息收入
sub_grade,PRICING,LC 细分等级，同上
issue_d,TARGET,放款月份，用于 vintage 分组与跨时间切分
last_pymnt_d,TARGET,最后一次还款月份，用于推算违约发生的账龄 MOB
loan_status,TARGET,贷款状态，标签来源
collection_recovery_fee,LEAK,催收回收手续费，放款后
debt_settlement_flag,LEAK,是否进入债务和解，放款后——几乎等价于坏标签
debt_settlement_flag_date,LEAK,债务和解标记日期，放款后
deferral_term,LEAK,延期期数，放款后
funded_amnt,LEAK,实际放款金额，放款后才确定；申请时点只有 loan_amnt
funded_amnt_inv,LEAK,投资人实际认购额，放款后由平台撮合结果决定
hardship_amount,LEAK,困难减免金额，放款后
hardship_dpd,LEAK,困难减免时的逾期天数，放款后——直接泄漏标签
hardship_end_date,LEAK,困难减免结束日，放款后
hardship_flag,LEAK,是否申请过困难减免，放款后
hardship_last_payment_amount,LEAK,困难减免期最后还款额，放款后
hardship_length,LEAK,困难减免时长，放款后
hardship_loan_status,LEAK,困难减免时的贷款状态，放款后——直接泄漏标签
hardship_payoff_balance_amount,LEAK,困难减免时应付余额，放款后
hardship_reason,LEAK,困难减免原因，放款后
hardship_start_date,LEAK,困难减免起始日，放款后
hardship_status,LEAK,困难减免状态，放款后
hardship_type,LEAK,困难减免类型，放款后
last_credit_pull_d,LEAK,最近一次征信拉取月份，贷后监控动作
